output:tensor([[-0.4122]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3524]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3221]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3506]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3331]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3376]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3295]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3284]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3230]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3275]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3417]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3474]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3175]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3361]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3316]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3177]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3249]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3146]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3295]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3379]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3102]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3119]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3231]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3182]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3265]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3069]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3135]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3098]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3345]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3062]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3026]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3224]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3021]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3041]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3163]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3160]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3094]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3117]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3188]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3127]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3123]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3230]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3170]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3064]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3110]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3226]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3111]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3127]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3093]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3211]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3300]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3223]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3081]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3351]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3224]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3266]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3345]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3309]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3516]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3511]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3473]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3484]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3568]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3483]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3548]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3647]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3657]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3638]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3778]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3621]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3651]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3644]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3708]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3648]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3754]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3667]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3785]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3803]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3772]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3784]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3998]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3876]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3822]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4182]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4123]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4074]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4041]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3845]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4159]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3889]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4216]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4178]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4205]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3985]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3897]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4335]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4068]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4160]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4375]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4339]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4103]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4236]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4370]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4474]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4245]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4297]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4199]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4303]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4246]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4444]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4419]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4609]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4288]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4462]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4543]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4562]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4657]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4513]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4676]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4618]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4811]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4572]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4688]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4702]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4540]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4703]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4613]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4741]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4705]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4658]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4854]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4695]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4566]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4730]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4750]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4784]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4656]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4838]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4888]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4644]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4911]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4692]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4844]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.5061]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4765]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4632]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4694]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4592]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4581]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4797]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4984]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4838]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4763]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4652]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4700]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4838]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4684]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4765]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4928]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4657]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4853]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4624]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4628]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4443]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4698]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4702]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4700]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4735]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4716]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4549]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4469]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4540]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4537]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4623]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4420]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4328]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4496]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4516]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4475]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4396]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4806]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4390]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4463]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4309]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4374]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4357]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4230]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4311]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4169]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4177]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4312]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4150]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4273]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4227]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4023]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4084]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4250]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4068]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3945]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4019]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3951]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3838]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3914]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4181]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3878]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.4032]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3959]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3880]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3861]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3866]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3685]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3820]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3550]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3763]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3744]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3738]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3699]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3641]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3448]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3619]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3545]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3382]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3440]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3409]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3378]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3336]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3265]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3390]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3295]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3285]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3232]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3146]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3465]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3274]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2974]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3069]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3076]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3062]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2934]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2938]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.3094]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2848]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2898]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2967]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2777]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2733]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2811]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2807]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2769]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2669]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2751]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2734]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2911]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2691]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2706]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2642]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2559]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2538]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2278]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2415]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2188]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2390]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2344]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2307]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2314]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2205]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2287]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2276]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2278]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2219]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2288]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1966]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2169]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1995]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2046]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2144]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2088]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2041]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2078]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2031]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1881]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1877]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.2005]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1855]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1846]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1843]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1871]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1875]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1781]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1806]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1628]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1748]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1714]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1580]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1733]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1630]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1520]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1535]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1479]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1623]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1498]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1406]], device='cuda:0', grad_fn=<AddmmBackward0>)
output:tensor([[-0.1461]], device='cuda:0', grad_fn=<AddmmBackward0>)
