Epoch 1/100, Train Loss: 0.6933, Test Loss: 0.6818, Train Accuracy: 0.5058, Train Precision: 0.4119, Train Recall: 0.4748, Train F1 Score: 0.4411, Train AUC-ROC: 0.5152, Test Accuracy: 0.5987, Test Precision: 0.0164, Test Recall: 0.5000, Test F1 Score: 0.0317, Test AUC-ROC: 0.6121
Epoch 12/100, Train Loss: 0.6320, Test Loss: 0.6670, Train Accuracy: 0.6421, Train Precision: 0.6038, Train Recall: 0.6268, Train F1 Score: 0.6151, Train AUC-ROC: 0.6927, Test Accuracy: 0.5461, Test Precision: 0.4754, Test Recall: 0.4394, Test F1 Score: 0.4567, Test AUC-ROC: 0.6212

Epoch 13/100, Train Loss: 0.6290, Test Loss: 0.6849, Train Accuracy: 0.6587, Train Precision: 0.6265, Train Recall: 0.6434, Train F1 Score: 0.6348, Train AUC-ROC: 0.7035, Test Accuracy: 0.5592, Test Precision: 0.6557, Test Recall: 0.4651, Test F1 Score: 0.5442, Test AUC-ROC: 0.6229

Epoch 14/100, Train Loss: 0.6230, Test Loss: 0.6511, Train Accuracy: 0.6612, Train Precision: 0.6195, Train Recall: 0.6490, Train F1 Score: 0.6339, Train AUC-ROC: 0.7140, Test Accuracy: 0.6118, Test Precision: 0.4262, Test Recall: 0.5200, Test F1 Score: 0.4685, Test AUC-ROC: 0.6241

Epoch 15/100, Train Loss: 0.6200, Test Loss: 0.7195, Train Accuracy: 0.6504, Train Precision: 0.5916, Train Recall: 0.6420, Train F1 Score: 0.6158, Train AUC-ROC: 0.7095, Test Accuracy: 0.5263, Test Precision: 0.8033, Test Recall: 0.4495, Test F1 Score: 0.5765, Test AUC-ROC: 0.6212

Epoch 16/100, Train Loss: 0.6183, Test Loss: 0.6507, Train Accuracy: 0.6421, Train Precision: 0.6248, Train Recall: 0.6215, Train F1 Score: 0.6232, Train AUC-ROC: 0.7155, Test Accuracy: 0.6184, Test Precision: 0.2787, Test Recall: 0.5484, Test F1 Score: 0.3696, Test AUC-ROC: 0.6347

Epoch 17/100, Train Loss: 0.6119, Test Loss: 0.6476, Train Accuracy: 0.6835, Train Precision: 0.6422, Train Recall: 0.6740, Train F1 Score: 0.6577, Train AUC-ROC: 0.7261, Test Accuracy: 0.6250, Test Precision: 0.3770, Test Recall: 0.5476, Test F1 Score: 0.4466, Test AUC-ROC: 0.6394

Epoch 18/100, Train Loss: 0.6098, Test Loss: 0.6472, Train Accuracy: 0.6702, Train Precision: 0.6318, Train Recall: 0.6582, Train F1 Score: 0.6447, Train AUC-ROC: 0.7254, Test Accuracy: 0.6316, Test Precision: 0.3115, Test Recall: 0.5758, Test F1 Score: 0.4043, Test AUC-ROC: 0.6394

Epoch 19/100, Train Loss: 0.6007, Test Loss: 0.6824, Train Accuracy: 0.6744, Train Precision: 0.6073, Train Recall: 0.6731, Train F1 Score: 0.6385, Train AUC-ROC: 0.7377, Test Accuracy: 0.5724, Test Precision: 0.6721, Test Recall: 0.4767, Test F1 Score: 0.5578, Test AUC-ROC: 0.6465

Epoch 20/100, Train Loss: 0.5997, Test Loss: 0.6397, Train Accuracy: 0.6678, Train Precision: 0.6178, Train Recall: 0.6592, Train F1 Score: 0.6378, Train AUC-ROC: 0.7386, Test Accuracy: 0.6250, Test Precision: 0.3934, Test Recall: 0.5455, Test F1 Score: 0.4571, Test AUC-ROC: 0.6535

Epoch 21/100, Train Loss: 0.6009, Test Loss: 0.6412, Train Accuracy: 0.6818, Train Precision: 0.6370, Train Recall: 0.6734, Train F1 Score: 0.6547, Train AUC-ROC: 0.7370, Test Accuracy: 0.6250, Test Precision: 0.5246, Test Recall: 0.5333, Test F1 Score: 0.5289, Test AUC-ROC: 0.6626

Epoch 22/100, Train Loss: 0.5996, Test Loss: 0.6394, Train Accuracy: 0.6752, Train Precision: 0.6405, Train Recall: 0.6625, Train F1 Score: 0.6513, Train AUC-ROC: 0.7370, Test Accuracy: 0.6316, Test Precision: 0.3770, Test Recall: 0.5610, Test F1 Score: 0.4510, Test AUC-ROC: 0.6570

Epoch 23/100, Train Loss: 0.5882, Test Loss: 0.6640, Train Accuracy: 0.6942, Train Precision: 0.6457, Train Recall: 0.6890, Train F1 Score: 0.6667, Train AUC-ROC: 0.7528, Test Accuracy: 0.5921, Test Precision: 0.5902, Test Recall: 0.4932, Test F1 Score: 0.5373, Test AUC-ROC: 0.6486

Epoch 24/100, Train Loss: 0.5889, Test Loss: 0.6559, Train Accuracy: 0.6868, Train Precision: 0.6562, Train Recall: 0.6738, Train F1 Score: 0.6649, Train AUC-ROC: 0.7522, Test Accuracy: 0.6184, Test Precision: 0.5738, Test Recall: 0.5224, Test F1 Score: 0.5469, Test AUC-ROC: 0.6508

Epoch 25/100, Train Loss: 0.5864, Test Loss: 0.6396, Train Accuracy: 0.7050, Train Precision: 0.6667, Train Recall: 0.6971, Train F1 Score: 0.6815, Train AUC-ROC: 0.7595, Test Accuracy: 0.6382, Test Precision: 0.4262, Test Recall: 0.5652, Test F1 Score: 0.4860, Test AUC-ROC: 0.6573

Epoch 26/100, Train Loss: 0.5750, Test Loss: 0.6814, Train Accuracy: 0.7116, Train Precision: 0.6894, Train Recall: 0.6979, Train F1 Score: 0.6936, Train AUC-ROC: 0.7705, Test Accuracy: 0.6118, Test Precision: 0.1475, Test Recall: 0.5625, Test F1 Score: 0.2338, Test AUC-ROC: 0.6628

Epoch 27/100, Train Loss: 0.5865, Test Loss: 0.6434, Train Accuracy: 0.6959, Train Precision: 0.6667, Train Recall: 0.6834, Train F1 Score: 0.6749, Train AUC-ROC: 0.7570, Test Accuracy: 0.6382, Test Precision: 0.3279, Test Recall: 0.5882, Test F1 Score: 0.4211, Test AUC-ROC: 0.6611

Epoch 28/100, Train Loss: 0.5876, Test Loss: 0.6457, Train Accuracy: 0.6975, Train Precision: 0.6579, Train Recall: 0.6892, Train F1 Score: 0.6732, Train AUC-ROC: 0.7552, Test Accuracy: 0.6447, Test Precision: 0.2951, Test Recall: 0.6207, Test F1 Score: 0.4000, Test AUC-ROC: 0.6632

Epoch 29/100, Train Loss: 0.5751, Test Loss: 0.6405, Train Accuracy: 0.7099, Train Precision: 0.6719, Train Recall: 0.7026, Train F1 Score: 0.6869, Train AUC-ROC: 0.7694, Test Accuracy: 0.6382, Test Precision: 0.4590, Test Recall: 0.5600, Test F1 Score: 0.5045, Test AUC-ROC: 0.6593

Epoch 30/100, Train Loss: 0.5826, Test Loss: 0.6370, Train Accuracy: 0.7017, Train Precision: 0.6684, Train Recall: 0.6913, Train F1 Score: 0.6797, Train 
AUC-ROC: 0.7629, Test Accuracy: 0.6447, Test Precision: 0.4262, Test Recall: 0.5778, Test F1 Score: 0.4906, Test AUC-ROC: 0.6517

Epoch 31/100, Train Loss: 0.5810, Test Loss: 0.6345, Train Accuracy: 0.7058, Train Precision: 0.6719, Train Recall: 0.6962, Train F1 Score: 0.6838, Train AUC-ROC: 0.7634, Test Accuracy: 0.6645, Test Precision: 0.3770, Test Recall: 0.6389, Test F1 Score: 0.4742, Test AUC-ROC: 0.6652

Epoch 32/100, Train Loss: 0.5759, Test Loss: 0.6427, Train Accuracy: 0.7008, Train Precision: 0.6719, Train Recall: 0.6887, Train F1 Score: 0.6802, Train AUC-ROC: 0.7698, Test Accuracy: 0.6513, Test Precision: 0.5082, Test Recall: 0.5741, Test F1 Score: 0.5391, Test AUC-ROC: 0.6547

Epoch 33/100, Train Loss: 0.5805, Test Loss: 0.6270, Train Accuracy: 0.7050, Train Precision: 0.6719, Train Recall: 0.6949, Train F1 Score: 0.6832, Train AUC-ROC: 0.7663, Test Accuracy: 0.6645, Test Precision: 0.3770, Test Recall: 0.6389, Test F1 Score: 0.4742, Test AUC-ROC: 0.6786

Epoch 34/100, Train Loss: 0.5789, Test Loss: 0.6340, Train Accuracy: 0.6959, Train Precision: 0.6754, Train Recall: 0.6801, Train F1 Score: 0.6778, Train AUC-ROC: 0.7624, Test Accuracy: 0.6579, Test Precision: 0.3607, Test Recall: 0.6286, Test F1 Score: 0.4583, Test AUC-ROC: 0.6699

Epoch 35/100, Train Loss: 0.5706, Test Loss: 0.6371, Train Accuracy: 0.7066, Train Precision: 0.6702, Train Recall: 0.6982, Train F1 Score: 0.6839, Train AUC-ROC: 0.7709, Test Accuracy: 0.6513, Test Precision: 0.5246, Test Recall: 0.5714, Test F1 Score: 0.5470, Test AUC-ROC: 0.6681

Epoch 36/100, Train Loss: 0.5832, Test Loss: 0.6813, Train Accuracy: 0.6975, Train Precision: 0.6754, Train Recall: 0.6825, Train F1 Score: 0.6789, Train AUC-ROC: 0.7621, Test Accuracy: 0.5395, Test Precision: 0.6721, Test Recall: 0.4505, Test F1 Score: 0.5395, Test AUC-ROC: 0.6501

Epoch 37/100, Train Loss: 0.5741, Test Loss: 0.6403, Train Accuracy: 0.7041, Train Precision: 0.6771, Train Recall: 0.6916, Train F1 Score: 0.6843, Train AUC-ROC: 0.7699, Test Accuracy: 0.6382, Test Precision: 0.5410, Test Recall: 0.5500, Test F1 Score: 0.5455, Test AUC-ROC: 0.6624

Epoch 38/100, Train Loss: 0.5706, Test Loss: 0.6349, Train Accuracy: 0.7107, Train Precision: 0.6824, Train Recall: 0.6995, Train F1 Score: 0.6908, Train AUC-ROC: 0.7729, Test Accuracy: 0.6579, Test Precision: 0.4754, Test Recall: 0.5918, Test F1 Score: 0.5273, Test AUC-ROC: 0.6593

Epoch 39/100, Train Loss: 0.5704, Test Loss: 0.6226, Train Accuracy: 0.7008, Train Precision: 0.6719, Train Recall: 0.6887, Train F1 Score: 0.6802, Train AUC-ROC: 0.7713, Test Accuracy: 0.6645, Test Precision: 0.4918, Test Recall: 0.6000, Test F1 Score: 0.5405, Test AUC-ROC: 0.6835

Epoch 40/100, Train Loss: 0.5693, Test Loss: 0.6319, Train Accuracy: 0.7248, Train Precision: 0.6981, Train Recall: 0.7143, Train F1 Score: 0.7061, Train AUC-ROC: 0.7752, Test Accuracy: 0.6447, Test Precision: 0.4754, Test Recall: 0.5686, Test F1 Score: 0.5179, Test AUC-ROC: 0.6723

Epoch 41/100, Train Loss: 0.5669, Test Loss: 0.6445, Train Accuracy: 0.7091, Train Precision: 0.6859, Train Recall: 0.6956, Train F1 Score: 0.6907, Train AUC-ROC: 0.7764, Test Accuracy: 0.6382, Test Precision: 0.5574, Test Recall: 0.5484, Test F1 Score: 0.5528, Test AUC-ROC: 0.6664

Epoch 42/100, Train Loss: 0.5775, Test Loss: 0.6309, Train Accuracy: 0.7033, Train Precision: 0.6946, Train Recall: 0.6838, Train F1 Score: 0.6892, Train AUC-ROC: 0.7662, Test Accuracy: 0.6447, Test Precision: 0.4098, Test Recall: 0.5814, Test F1 Score: 0.4808, Test AUC-ROC: 0.6747

Epoch 43/100, Train Loss: 0.5646, Test Loss: 0.6829, Train Accuracy: 0.7165, Train Precision: 0.6894, Train Recall: 0.7054, Train F1 Score: 0.6973, Train AUC-ROC: 0.7782, Test Accuracy: 0.5526, Test Precision: 0.7213, Test Recall: 0.4632, Test F1 Score: 0.5641, Test AUC-ROC: 0.6594

Epoch 44/100, Train Loss: 0.5699, Test Loss: 0.6295, Train Accuracy: 0.7017, Train Precision: 0.6928, Train Recall: 0.6821, Train F1 Score: 0.6874, Train AUC-ROC: 0.7741, Test Accuracy: 0.6579, Test Precision: 0.4262, Test Recall: 0.6047, Test F1 Score: 0.5000, Test AUC-ROC: 0.6715

Epoch 45/100, Train Loss: 0.5628, Test Loss: 0.6437, Train Accuracy: 0.7157, Train Precision: 0.6894, Train Recall: 0.7041, Train F1 Score: 0.6966, Train AUC-ROC: 0.7803, Test Accuracy: 0.6118, Test Precision: 0.5246, Test Recall: 0.5161, Test F1 Score: 0.5203, Test AUC-ROC: 0.6621

Epoch 46/100, Train Loss: 0.5670, Test Loss: 0.6688, Train Accuracy: 0.7124, Train Precision: 0.6963, Train Recall: 0.6963, Train F1 Score: 0.6963, Train AUC-ROC: 0.7761, Test Accuracy: 0.6382, Test Precision: 0.2295, Test Recall: 0.6364, Test F1 Score: 0.3373, Test AUC-ROC: 0.6749

Epoch 47/100, Train Loss: 0.5624, Test Loss: 0.6499, Train Accuracy: 0.7074, Train Precision: 0.6754, Train Recall: 0.6973, Train F1 Score: 0.6862, Train AUC-ROC: 0.7835, Test Accuracy: 0.5921, Test Precision: 0.6066, Test Recall: 0.4933, Test F1 Score: 0.5441, Test AUC-ROC: 0.6694

Epoch 48/100, Train Loss: 0.5678, Test Loss: 0.6728, Train Accuracy: 0.7157, Train Precision: 0.6719, Train Recall: 0.7116, Train F1 Score: 0.6912, Train AUC-ROC: 0.7780, Test Accuracy: 0.5526, Test Precision: 0.7213, Test Recall: 0.4632, Test F1 Score: 0.5641, Test AUC-ROC: 0.6725

Epoch 49/100, Train Loss: 0.5746, Test Loss: 0.6231, Train Accuracy: 0.7124, Train Precision: 0.6911, Train Recall: 0.6984, Train F1 Score: 0.6947, Train AUC-ROC: 0.7702, Test Accuracy: 0.6842, Test Precision: 0.4098, Test Recall: 0.6757, Test F1 Score: 0.5102, Test AUC-ROC: 0.6892

Epoch 50/100, Train Loss: 0.5649, Test Loss: 0.6268, Train Accuracy: 0.7132, Train Precision: 0.6946, Train Recall: 0.6982, Train F1 Score: 0.6964, Train AUC-ROC: 0.7806, Test Accuracy: 0.6513, Test Precision: 0.4754, Test Recall: 0.5800, Test F1 Score: 0.5225, Test AUC-ROC: 0.6841

Epoch 51/100, Train Loss: 0.5654, Test Loss: 0.6183, Train Accuracy: 0.7041, Train Precision: 0.6859, Train Recall: 0.6883, Train F1 Score: 0.6871, Train AUC-ROC: 0.7804, Test Accuracy: 0.6579, Test Precision: 0.4754, Test Recall: 0.5918, Test F1 Score: 0.5273, Test AUC-ROC: 0.6865

Epoch 52/100, Train Loss: 0.5595, Test Loss: 0.6265, Train Accuracy: 0.7116, Train Precision: 0.6859, Train Recall: 0.6993, Train F1 Score: 0.6925, Train AUC-ROC: 0.7813, Test Accuracy: 0.6842, Test Precision: 0.4262, Test Recall: 0.6667, Test F1 Score: 0.5200, Test AUC-ROC: 0.6786

Epoch 53/100, Train Loss: 0.5637, Test Loss: 0.7918, Train Accuracy: 0.6992, Train Precision: 0.6597, Train Recall: 0.6910, Train F1 Score: 0.6750, Train AUC-ROC: 0.7808, Test Accuracy: 0.5395, Test Precision: 0.9344, Test Recall: 0.4634, Test F1 Score: 0.6196, Test AUC-ROC: 0.6723

Epoch 54/100, Train Loss: 0.5658, Test Loss: 0.6665, Train Accuracy: 0.7149, Train Precision: 0.7086, Train Recall: 0.6952, Train F1 Score: 0.7018, Train AUC-ROC: 0.7789, Test Accuracy: 0.5526, Test Precision: 0.6557, Test Recall: 0.4598, Test F1 Score: 0.5405, Test AUC-ROC: 0.6724

Epoch 55/100, Train Loss: 0.5591, Test Loss: 0.6244, Train Accuracy: 0.7182, Train Precision: 0.7103, Train Recall: 0.6993, Train F1 Score: 0.7048, Train AUC-ROC: 0.7847, Test Accuracy: 0.6513, Test Precision: 0.4262, Test Recall: 0.5909, Test F1 Score: 0.4952, Test AUC-ROC: 0.6916

Epoch 56/100, Train Loss: 0.5642, Test Loss: 0.6252, Train Accuracy: 0.7264, Train Precision: 0.6981, Train Recall: 0.7168, Train F1 Score: 0.7073, Train AUC-ROC: 0.7822, Test Accuracy: 0.6974, Test Precision: 0.4262, Test Recall: 0.7027, Test F1 Score: 0.5306, Test AUC-ROC: 0.6903

Epoch 57/100, Train Loss: 0.5550, Test Loss: 0.6252, Train Accuracy: 0.7215, Train Precision: 0.7103, Train Recall: 0.7042, Train F1 Score: 0.7072, Train AUC-ROC: 0.7905, Test Accuracy: 0.6579, Test Precision: 0.4590, Test Recall: 0.5957, Test F1 Score: 0.5185, Test AUC-ROC: 0.6918

Epoch 58/100, Train Loss: 0.5637, Test Loss: 0.6354, Train Accuracy: 0.7198, Train Precision: 0.7016, Train Recall: 0.7053, Train F1 Score: 0.7034, Train AUC-ROC: 0.7829, Test Accuracy: 0.6382, Test Precision: 0.5246, Test Recall: 0.5517, Test F1 Score: 0.5378, Test AUC-ROC: 0.6815

Epoch 59/100, Train Loss: 0.5513, Test Loss: 0.6885, Train Accuracy: 0.7140, Train Precision: 0.6859, Train Recall: 0.7030, Train F1 Score: 0.6943, Train AUC-ROC: 0.7916, Test Accuracy: 0.5658, Test Precision: 0.6885, Test Recall: 0.4719, Test F1 Score: 0.5600, Test AUC-ROC: 0.6661

Epoch 60/100, Train Loss: 0.5646, Test Loss: 0.6335, Train Accuracy: 0.7215, Train Precision: 0.7033, Train Recall: 0.7070, Train F1 Score: 0.7052, Train AUC-ROC: 0.7815, Test Accuracy: 0.6316, Test Precision: 0.5082, Test Recall: 0.5439, Test F1 Score: 0.5254, Test AUC-ROC: 0.6751

Epoch 61/100, Train Loss: 0.5579, Test Loss: 0.6347, Train Accuracy: 0.7157, Train Precision: 0.6981, Train Recall: 0.7005, Train F1 Score: 0.6993, Train AUC-ROC: 0.7850, Test Accuracy: 0.6316, Test Precision: 0.5410, Test Recall: 0.5410, Test F1 Score: 0.5410, Test AUC-ROC: 0.6792

Epoch 62/100, Train Loss: 0.5536, Test Loss: 0.6576, Train Accuracy: 0.7116, Train Precision: 0.6981, Train Recall: 0.6944, Train F1 Score: 0.6963, Train AUC-ROC: 0.7890, Test Accuracy: 0.6053, Test Precision: 0.6066, Test Recall: 0.5068, Test F1 Score: 0.5522, Test AUC-ROC: 0.6653

Epoch 63/100, Train Loss: 0.5606, Test Loss: 0.6325, Train Accuracy: 0.7248, Train Precision: 0.7155, Train Recall: 0.7069, Train F1 Score: 0.7112, Train AUC-ROC: 0.7835, Test Accuracy: 0.6579, Test Precision: 0.4426, Test Recall: 0.6000, Test F1 Score: 0.5094, Test AUC-ROC: 0.6637

Epoch 64/100, Train Loss: 0.5620, Test Loss: 0.6216, Train Accuracy: 0.7066, Train Precision: 0.6963, Train Recall: 0.6879, Train F1 Score: 0.6921, Train AUC-ROC: 0.7804, Test Accuracy: 0.6645, Test Precision: 0.4426, Test Recall: 0.6136, Test F1 Score: 0.5143, Test AUC-ROC: 0.6852

Epoch 65/100, Train Loss: 0.5558, Test Loss: 0.6211, Train Accuracy: 0.7165, Train Precision: 0.7051, Train Recall: 0.6990, Train F1 Score: 0.7020, Train AUC-ROC: 0.7906, Test Accuracy: 0.6776, Test Precision: 0.5082, Test Recall: 0.6200, Test F1 Score: 0.5586, Test AUC-ROC: 0.6896

Epoch 66/100, Train Loss: 0.5581, Test Loss: 0.6626, Train Accuracy: 0.7182, Train Precision: 0.7155, Train Recall: 0.6973, Train F1 Score: 0.7063, Train AUC-ROC: 0.7879, Test Accuracy: 0.6316, Test Precision: 0.2295, Test Recall: 0.6087, Test F1 Score: 0.3333, Test AUC-ROC: 0.6856

Epoch 67/100, Train Loss: 0.5626, Test Loss: 0.6284, Train Accuracy: 0.7190, Train Precision: 0.6946, Train Recall: 0.7069, Train F1 Score: 0.7007, Train AUC-ROC: 0.7813, Test Accuracy: 0.6645, Test Precision: 0.5410, Test Recall: 0.5893, Test F1 Score: 0.5641, Test AUC-ROC: 0.6794

Epoch 68/100, Train Loss: 0.5596, Test Loss: 0.6356, Train Accuracy: 0.7058, Train Precision: 0.6911, Train Recall: 0.6887, Train F1 Score: 0.6899, Train AUC-ROC: 0.7814, Test Accuracy: 0.6250, Test Precision: 0.5410, Test Recall: 0.5323, Test F1 Score: 0.5366, Test AUC-ROC: 0.6725

Epoch 69/100, Train Loss: 0.5597, Test Loss: 0.6294, Train Accuracy: 0.7264, Train Precision: 0.7155, Train Recall: 0.7093, Train F1 Score: 0.7124, Train AUC-ROC: 0.7850, Test Accuracy: 0.6579, Test Precision: 0.4918, Test Recall: 0.5882, Test F1 Score: 0.5357, Test AUC-ROC: 0.6776

Epoch 70/100, Train Loss: 0.5599, Test Loss: 0.6340, Train Accuracy: 0.7099, Train Precision: 0.6963, Train Recall: 0.6927, Train F1 Score: 0.6945, Train AUC-ROC: 0.7801, Test Accuracy: 0.6645, Test Precision: 0.4918, Test Recall: 0.6000, Test F1 Score: 0.5405, Test AUC-ROC: 0.6648

Epoch 71/100, Train Loss: 0.5566, Test Loss: 0.6332, Train Accuracy: 0.7174, Train Precision: 0.6998, Train Recall: 0.7023, Train F1 Score: 0.7010, Train AUC-ROC: 0.7884, Test Accuracy: 0.6382, Test Precision: 0.5574, Test Recall: 0.5484, Test F1 Score: 0.5528, Test AUC-ROC: 0.6810

Epoch 72/100, Train Loss: 0.5608, Test Loss: 0.6291, Train Accuracy: 0.7066, Train Precision: 0.6894, Train Recall: 0.6906, Train F1 Score: 0.6900, Train AUC-ROC: 0.7827, Test Accuracy: 0.6513, Test Precision: 0.3607, Test Recall: 0.6111, Test F1 Score: 0.4536, Test AUC-ROC: 0.6930

Epoch 73/100, Train Loss: 0.5589, Test Loss: 0.6239, Train Accuracy: 0.7248, Train Precision: 0.7120, Train Recall: 0.7083, Train F1 Score: 0.7102, Train AUC-ROC: 0.7864, Test Accuracy: 0.6711, Test Precision: 0.4754, Test Recall: 0.6170, Test F1 Score: 0.5370, Test AUC-ROC: 0.6881

Epoch 74/100, Train Loss: 0.5539, Test Loss: 0.6322, Train Accuracy: 0.7231, Train Precision: 0.7103, Train Recall: 0.7066, Train F1 Score: 0.7084, Train AUC-ROC: 0.7905, Test Accuracy: 0.6250, Test Precision: 0.5574, Test Recall: 0.5312, Test F1 Score: 0.5440, Test AUC-ROC: 0.6838

Epoch 75/100, Train Loss: 0.5648, Test Loss: 0.6272, Train Accuracy: 0.7248, Train Precision: 0.7103, Train Recall: 0.7091, Train F1 Score: 0.7097, Train AUC-ROC: 0.7811, Test Accuracy: 0.6579, Test Precision: 0.3607, Test Recall: 0.6286, Test F1 Score: 0.4583, Test AUC-ROC: 0.6870

Epoch 76/100, Train Loss: 0.5502, Test Loss: 0.6342, Train Accuracy: 0.7215, Train Precision: 0.7068, Train Recall: 0.7056, Train F1 Score: 0.7062, Train AUC-ROC: 0.7926, Test Accuracy: 0.6579, Test Precision: 0.4262, Test Recall: 0.6047, Test F1 Score: 0.5000, Test AUC-ROC: 0.6713

Epoch 77/100, Train Loss: 0.5559, Test Loss: 0.6213, Train Accuracy: 0.7306, Train Precision: 0.7208, Train Recall: 0.7133, Train F1 Score: 0.7170, Train AUC-ROC: 0.7907, Test Accuracy: 0.6711, Test Precision: 0.4918, Test Recall: 0.6122, Test F1 Score: 0.5455, Test AUC-ROC: 0.6861

Epoch 78/100, Train Loss: 0.5500, Test Loss: 0.6518, Train Accuracy: 0.7273, Train Precision: 0.7033, Train Recall: 0.7158, Train F1 Score: 0.7095, Train AUC-ROC: 0.7926, Test Accuracy: 0.6053, Test Precision: 0.6393, Test Recall: 0.5065, Test F1 Score: 0.5652, Test AUC-ROC: 0.6783

Epoch 79/100, Train Loss: 0.5566, Test Loss: 0.6288, Train Accuracy: 0.7306, Train Precision: 0.7330, Train Recall: 0.7083, Train F1 Score: 0.7204, Train AUC-ROC: 0.7883, Test Accuracy: 0.6513, Test Precision: 0.4098, Test Recall: 0.5952, Test F1 Score: 0.4854, Test AUC-ROC: 0.6844

Epoch 80/100, Train Loss: 0.5559, Test Loss: 0.6280, Train Accuracy: 0.7281, Train Precision: 0.7120, Train Recall: 0.7133, Train F1 Score: 0.7127, Train AUC-ROC: 0.7864, Test Accuracy: 0.6776, Test Precision: 0.4098, Test Recall: 0.6579, Test F1 Score: 0.5051, Test AUC-ROC: 0.6851

Epoch 81/100, Train Loss: 0.5651, Test Loss: 0.6360, Train Accuracy: 0.7099, Train Precision: 0.6928, Train Recall: 0.6941, Train F1 Score: 0.6934, Train AUC-ROC: 0.7784, Test Accuracy: 0.6382, Test Precision: 0.5738, Test Recall: 0.5469, Test F1 Score: 0.5600, Test AUC-ROC: 0.6775

